Josefina's Magical Imperial Journey, 48.26359183208154, 7.7218782305745775, 5624
Alpine Coaster Enzian, 48.2621425794763, 7.722732212457689, 5606
Tirol Log Flume, 48.262574131902625, 7.72219372888132, 5609
Vienna Wave Swing, 48.26234262261936, 7.722968537309003, 5629
Arena of Football - Be Part of It!, 48.265443926657476, 7.721179340285733, 5621
Euro-Tower, 48.267121379358755, 7.722053499275751, 5619
Eurosat - CanCan Coaster, 48.26743266828396, 7.72113323559676, 5737
Eurosat Coastiality, 48.26747461203103, 7.72042717110421, 6280
Jim Button – Journey through Morrowland, 48.26725038134939, 7.722706054276444, 5631
Madame Freudenreich Curiosités, 48.267220736723495, 7.720897137820445, 5738
Silver Star, 48.26778088394758, 7.7201535984811835, 5604
Voletarium, 48.26914968191931, 7.7224433303548725, 5630
Atlantis Adventure, 48.266249725756026, 7.720255929744913, 5615
Pegasus - The YoungStar Coaster, 48.2678969417281, 7.719200000272093, 5608
Water Rollercoaster Poseidon, 48.26666692573652, 7.719346300890333, 5611
blue fire Megacoaster, 48.262665443207325, 7.718829100274411, 5603
Whale Adventures - Northern Lights, 48.26176204089607, 7.719224223115958, 5614
WODAN - Timburcoaster, 48.26164086667126, 7.718474978847314, 5602
Ba-a-a Express, 48.26618496398457, 7.723194160732158, 5622
Dancing Dingie, 48.26655350794747, 7.723922140147409, 5623
Old Mac Donald's Tractor Fun, 48.266454901119346, 7.722966184566476, 5626
Ghost Castle, 48.26781379226859, 7.7219564016137605, 5616
Volo da Vinci, 48.26754847510067, 7.722397899048193, 5620
Arthur, 48.26391704266513, 7.7240019291286135, 5618
Poppy Towers, 48.26415364277389, 7.723949600275434, 5627
Pirates in Batavia, 48.26358094316283, 7.720449671427395, 5617
Atlantica SuperSplash, 48.26206164377734, 7.721388942568884, 5610
Euro-Mir, 48.265126409697196, 7.720146200360154, 5605
Fjord-Rafting, 48.262146592228675, 7.720059379277828, 5612
Snorri Touren, 48.26284677378354, 7.720166999049891, 7301
Vindjammer, 48.262733109540115, 7.720726958163071, 5628
Kolumbusjolle, 48.261657643701106, 7.723238571425194, 5625
Matterhorn-Blitz, 48.26694117787614, 7.720372871808821, 5607
Swiss Bob Run, 48.266337442723014, 7.721604240070094, 5613
